,US Equities,EAFE Equities,EM Equities,Leveraged Treasuries,Corp Bonds,TIPS(backfilled),Real Estate,TSMOMPos,T-bill
US Equities,0.0037157977043286716,0.0033342936642946747,0.00429144248103276,-0.00022650968779577482,0.00045097652251311894,0.000336872386300813,0.0050189969937062175,-0.0005695730428159987,5.468814778349576e-06
EAFE Equities,0.0033342936642946747,0.0044884774166533414,0.004710946141160454,-0.00011339635141606493,0.0005564560316328418,0.0004104665021481411,0.004764613076459796,-0.0003019864675970041,1.9384023865392697e-05
EM Equities,0.00429144248103276,0.004710946141160454,0.007596962079180987,-0.00030346281434216526,0.0007735058852976293,0.00047760743653437235,0.005378314071918257,-0.0007207129491811307,8.190139819884052e-06
Leveraged Treasuries,-0.00022650968779577482,-0.0001133963514160649,-0.0003034628143421652,0.0002701429510972977,0.00017842657618380954,0.00015775798545572976,-0.0001417360201986899,3.7023930312644955e-05,-1.3737370936622541e-07
Corp Bonds,0.00045097652251311905,0.0005564560316328418,0.0007735058852976293,0.00017842657618380952,0.0004782888889375838,0.0003463960580850048,0.0007829845357944187,-7.756939726284148e-05,2.8245195380741897e-06
TIPS(backfilled),0.00033687238630081306,0.000410466502148141,0.00047760743653437235,0.00015775798545572978,0.0003463960580850048,0.0004773033255247639,0.0007547009690250599,-3.6981040983654835e-05,1.1399004802662561e-05
Real Estate,0.0050189969937062175,0.004764613076459796,0.005378314071918257,-0.00014173602019868992,0.0007829845357944187,0.0007547009690250599,0.01152620062546554,-0.00014439375050438787,1.9523327409863868e-05
TSMOMPos,-0.0005695730428159988,-0.00030198646759700405,-0.0007207129491811307,3.7023930312644935e-05,-7.756939726284148e-05,-3.6981040983654835e-05,-0.00014439375050438784,0.0006290590160349869,9.455823686390773e-06
T-bill,5.468814778349574e-06,1.9384023865392697e-05,8.19013981988405e-06,-1.3737370936622563e-07,2.8245195380741905e-06,1.139900480266256e-05,1.9523327409863865e-05,9.455823686390773e-06,3.602668717404078e-06
