,US Equities,EAFE Equities,EM Equities,Leveraged Treasuries,Corp Bonds,TIPS(backfilled),Real Estate,TSMOMPos,T-bill
US Equities,0.0019071520547200797,0.0016801902185762895,0.0020023165450237528,-0.0002977579773326893,0.00015233347986945623,3.566774778962031e-05,0.001775567093715695,-0.0002322047298659525,5.47048392440281e-06
EAFE Equities,0.0016801902185762897,0.0022890956460761567,0.002357460292777515,-0.0002814271374809081,0.00020132292157437962,4.832726300288794e-05,0.0016758400273521991,-0.00023151038636945513,2.5768086866046502e-06
EM Equities,0.002002316545023753,0.002357460292777515,0.004003176742621934,-0.00034876784746928067,0.00025881120557784144,0.00015663994294579518,0.001981278562381038,-0.0003559426748953326,-5.971243645612864e-07
Leveraged Treasuries,-0.0002977579773326893,-0.0002814271374809081,-0.00034876784746928067,0.0010326501065873405,0.00034198190845230176,0.0003153067704894494,5.74912711176519e-05,4.1741705979944256e-05,4.2900017173309554e-05
Corp Bonds,0.00015233347986945623,0.00020132292157437962,0.00025881120557784144,0.00034198190845230176,0.00025506516623135383,0.00016515691103672286,0.0003509530623128276,-3.824922596514368e-05,2.2829592233010606e-05
TIPS(backfilled),3.566774778962031e-05,4.832726300288795e-05,0.00015663994294579515,0.00031530677048944943,0.00016515691103672283,0.0002701890926991717,0.0002392143104459339,-1.687807550372419e-05,1.0972856645862198e-05
Real Estate,0.001775567093715695,0.0016758400273521991,0.001981278562381038,5.749127111765186e-05,0.0003509530623128276,0.0002392143104459339,0.003655784205943924,-0.00018047190090212756,4.78573786827517e-06
TSMOMPos,-0.00023220472986595252,-0.00023151038636945513,-0.00035594267489533264,4.174170597994427e-05,-3.824922596514366e-05,-1.6878075503724187e-05,-0.00018047190090212758,0.00024694020818140985,5.7237316665302615e-06
T-bill,5.47048392440281e-06,2.5768086866046536e-06,-5.97124364561283e-07,4.290001717330955e-05,2.2829592233010606e-05,1.0972856645862198e-05,4.785737868275172e-06,5.723731666530259e-06,1.725565117498619e-05
