,US Equities,EAFE Equities,EM Equities,Leveraged Treasuries,Corp Bonds,TIPS(backfilled),Real Estate,TSMOMPos,T-bill
US Equities,0.0019094501647868734,0.0016847510389976493,0.0020157108754737304,-0.00033004402108280655,0.00013921030353155684,3.5316394810221996e-05,0.0017744416970703646,-0.00023435389739061445,1.1873191064902878e-07
EAFE Equities,0.0016847510389976493,0.0022959191768520825,0.002373117333582058,-0.0003114504708764598,0.00019046245559104598,5.023862037805537e-05,0.0016769773410614346,-0.0002336595538941171,-5.122329725833695e-07
EM Equities,0.0020157108754737304,0.002373117333582058,0.004027667293455095,-0.0003699576708362146,0.00025678424962312553,0.00016738481034958027,0.0019912493861188917,-0.0003580918424199946,5.147344004868321e-06
Leveraged Treasuries,-0.00033004402108280666,-0.00031145047087645974,-0.00036995767083621467,0.0009657799090203118,0.00029427457829749113,0.00028037126369313977,2.178172065541055e-05,3.9592538455282325e-05,2.9641113426444582e-06
Corp Bonds,0.00013921030353155684,0.00019046245559104598,0.00025678424962312553,0.00029427457829749113,0.00022652070348876116,0.00014938427165263123,0.00033440637926280436,-4.03983934898056e-05,2.056553814563551e-06
TIPS(backfilled),3.5316394810222e-05,5.023862037805537e-05,0.00016738481034958027,0.00028037126369313977,0.00014938427165263123,0.00026718827667358114,0.0002354394507544116,-1.9027243028386128e-05,2.9716415859162017e-06
Real Estate,0.0017744416970703646,0.001676977341061435,0.0019912493861188917,2.178172065541056e-05,0.00033440637926280436,0.00023543945075441163,0.0036512353025864694,-0.00018262106842678952,-3.989520857602518e-06
TSMOMPos,-0.00023435389739061445,-0.0002336595538941171,-0.0003580918424199946,3.9592538455282325e-05,-4.03983934898056e-05,-1.9027243028386125e-05,-0.00018262106842678954,0.0002469402081814099,3.5745641418683264e-06
T-bill,1.1873191064902708e-07,-5.122329725833698e-07,5.147344004868321e-06,2.9641113426444582e-06,2.056553814563551e-06,2.971641585916202e-06,-3.989520857602515e-06,3.574564141868326e-06,4.25403708068474e-06
